cladeID	nkmers	card	gsize	csize
N9403	74521	2	292295	873
N9185	115751	4	292303	873
N9587	86892	2	292975	875
N9404	97356	3	292977	876
N9588	88389	2	294516	878
N9882	59390	2	296917	880
N9750	95437	3	296919	881
N9589	105495	4	296925	882
N8626	88192	2	303759	884
N7900	66107	2	311079	889
N7901	169089	23	311079	887
N7505	172631	25	316161	889
N9583	83008	2	316162	891
N9397	92406	3	316164	892
N8915	144130	5	316185	894
N9398	85368	2	316185	896
N9181	110725	3	316187	897
N9399	99272	2	316381	899
N9749	70532	2	316908	901
N9584	98352	3	316910	902
N9400	118022	4	316916	903
N8276	232312	15	324323	904
N7899	239311	16	328683	905
N7504	243662	17	333839	906
N7114	337673	42	366272	906
N7503	91165	2	366272	908
N7113	105958	3	366274	909
N6692	409556	45	378117	909
N6271	479123	46	378338	910
N7112	98796	2	378338	912
N6691	173644	3	378340	913
N6270	241298	4	378346	914
N5835	710749	50	382968	914
N7501	182247	2	382968	918
N7502	159653	2	382968	916
N7111	339452	4	382976	918
N6690	428839	5	382990	919
N6269	524017	6	383017	920
N6689	178314	2	383017	922
N6268	269812	3	383019	923
N5834	792888	9	383129	923
N5395	1503199	59	383398	923
N5832	88553	2	383401	928
N5833	208134	3	383401	926
N5394	296396	5	383416	928
N4997	1798050	64	383840	928
N9394	168645	2	383840	930
N9178	250105	3	383842	931
N9747	194682	2	383842	933
N9581	257005	3	383844	934
N10091	162497	2	383850	937
N9395	312862	4	383850	935
N9995	245444	3	383852	938
N9881	333228	4	383858	939
N9748	409660	5	383872	940
N9582	515755	6	383899	941
N9396	584133	7	383954	942
N9179	888510	11	384554	942
N8914	1128062	14	385701	942
N9177	175213	2	385701	944
N8913	256029	3	385703	945
N8624	1376944	17	387085	945
N7897	236116	2	388364	949
N7898	1535763	19	388364	947
N7110	1872181	22	390363	950
N6688	1954284	23	391104	951
N9580	141529	2	391104	953
N9393	165421	3	391106	954
N9176	215306	4	391112	955
N8912	253729	5	391126	956
N8622	208946	2	391156	959
N8623	294737	6	391156	957
N8274	497694	8	391304	959
N7896	573603	9	391452	960
N7499	651736	10	391657	961
N7895	178760	2	391657	963
N7498	280256	3	391659	964
N7108	196565	2	392299	966
N7109	928816	13	392299	964
N6687	1122387	15	392830	966
N6265	158665	2	398905	968
N6266	3056434	38	398905	966
N5831	3212324	40	400220	968
N6264	88202	2	400220	970
N5830	92613	3	400222	971
N5393	3303313	43	400827	971
N4996	3409601	44	401038	972
N4626	5205740	108	401859	972
N4256	5313718	109	401908	973
N3890	35379078	316	404720	973
N3530	83414928	803	437682	973
N8620	126100	2	437682	975
N9388	153935	4	437693	979
N9172	171048	5	437708	980
N9574	114240	2	437708	982
N9575	107157	2	437708	984
